Date,Close
2003-01-02 00:00:00-05:00,909.030029296875
2003-01-03 00:00:00-05:00,908.5900268554688
2003-01-06 00:00:00-05:00,929.010009765625
2003-01-07 00:00:00-05:00,922.9299926757812
2003-01-08 00:00:00-05:00,909.9299926757812
2003-01-09 00:00:00-05:00,927.5700073242188
2003-01-10 00:00:00-05:00,927.5700073242188
2003-01-13 00:00:00-05:00,926.260009765625
2003-01-14 00:00:00-05:00,931.6599731445312
2003-01-15 00:00:00-05:00,918.219970703125
2003-01-16 00:00:00-05:00,914.5999755859375
2003-01-17 00:00:00-05:00,901.780029296875
2003-01-21 00:00:00-05:00,887.6199951171875
2003-01-22 00:00:00-05:00,878.3599853515625
2003-01-23 00:00:00-05:00,887.3400268554688
2003-01-24 00:00:00-05:00,861.4000244140625
2003-01-27 00:00:00-05:00,847.47998046875
2003-01-28 00:00:00-05:00,858.5399780273438
2003-01-29 00:00:00-05:00,864.3599853515625
2003-01-30 00:00:00-05:00,844.6099853515625
2003-01-31 00:00:00-05:00,855.7000122070312
2003-02-03 00:00:00-05:00,860.3200073242188
2003-02-04 00:00:00-05:00,848.2000122070312
2003-02-05 00:00:00-05:00,843.5900268554688
2003-02-06 00:00:00-05:00,838.1500244140625
2003-02-07 00:00:00-05:00,829.6900024414062
2003-02-10 00:00:00-05:00,835.969970703125
2003-02-11 00:00:00-05:00,829.2000122070312
2003-02-12 00:00:00-05:00,818.6799926757812
2003-02-13 00:00:00-05:00,817.3699951171875
2003-02-14 00:00:00-05:00,834.8900146484375
2003-02-18 00:00:00-05:00,851.1699829101562
2003-02-19 00:00:00-05:00,845.1300048828125
2003-02-20 00:00:00-05:00,837.0999755859375
2003-02-21 00:00:00-05:00,848.1699829101562
2003-02-24 00:00:00-05:00,832.5800170898438
2003-02-25 00:00:00-05:00,838.5700073242188
2003-02-26 00:00:00-05:00,827.5499877929688
2003-02-27 00:00:00-05:00,837.280029296875
2003-02-28 00:00:00-05:00,841.1500244140625
2003-03-03 00:00:00-05:00,834.8099975585938
2003-03-04 00:00:00-05:00,821.989990234375
2003-03-05 00:00:00-05:00,829.8499755859375
2003-03-06 00:00:00-05:00,822.0999755859375
2003-03-07 00:00:00-05:00,828.8900146484375
2003-03-10 00:00:00-05:00,807.47998046875
2003-03-11 00:00:00-05:00,800.72998046875
2003-03-12 00:00:00-05:00,804.1900024414062
2003-03-13 00:00:00-05:00,831.9000244140625
2003-03-14 00:00:00-05:00,833.27001953125
2003-03-17 00:00:00-05:00,862.7899780273438
2003-03-18 00:00:00-05:00,866.4500122070312
2003-03-19 00:00:00-05:00,874.02001953125
2003-03-20 00:00:00-05:00,875.6699829101562
2003-03-21 00:00:00-05:00,895.7899780273438
2003-03-24 00:00:00-05:00,864.22998046875
2003-03-25 00:00:00-05:00,874.739990234375
2003-03-26 00:00:00-05:00,869.9500122070312
2003-03-27 00:00:00-05:00,868.52001953125
2003-03-28 00:00:00-05:00,863.5
2003-03-31 00:00:00-05:00,848.1799926757812
2003-04-01 00:00:00-05:00,858.47998046875
2003-04-02 00:00:00-05:00,880.9000244140625
2003-04-03 00:00:00-05:00,876.4500122070312
2003-04-04 00:00:00-05:00,878.8499755859375
2003-04-07 00:00:00-04:00,879.9299926757812
2003-04-08 00:00:00-04:00,878.2899780273438
2003-04-09 00:00:00-04:00,865.989990234375
